         494973 function calls (486978 primitive calls) in 1.116 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      702    0.006    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
      385    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
      351    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
      351    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
      351    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
      351    0.003    0.000    0.136    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
      689    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
      385    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
     1053    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      351    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:839(create_module)
    351/3    0.003    0.000    1.115    0.372 <frozen importlib._bootstrap_external>:842(exec_module)
      351    0.008    0.000    0.205    0.001 <frozen importlib._bootstrap_external>:914(get_code)
       39    0.003    0.000    0.004    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      588    0.001    0.000    0.001    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 Image.py:2467(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2472(ImageTransformHandler)
        1    0.000    0.000    0.009    0.009 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:3144(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3180(Exif)
        1    0.000    0.000    0.000    0.000 Image.py:444(_E)
        1    0.000    0.000    0.000    0.000 Image.py:485(Image)
        1    0.000    0.000    0.000    0.000 Image.py:51(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:55(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:20(ModeDescriptor)
